2022-02-09 21:31:46,732 || INFO || [T1]: Client sent data: b'This is Client Data' || __main__
2022-02-09 21:31:56,743 || ERROR || [T1]: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-09 21:33:34,919 || INFO || [T1]: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 21:33:34,919 || INFO || [T1]: Client sent data: b'This is Client Data' || __main__
2022-02-09 21:33:44,930 || ERROR || [T1]: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-09 21:40:56,827 || INFO || [T1]: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 21:40:56,827 || INFO || [T1]: Client sent data: b'This is Client Data' || __main__
2022-02-09 21:41:06,839 || ERROR || [T1]: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-09 22:25:46,549 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 22:25:46,550 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:25:51,551 || INFO || Thread 1: Successful Tx/Rx. Client sent b'This is Client Request Data'. Server replied This is Server Reply Data || __main__
2022-02-09 22:25:51,552 || INFO || Thread 1: Sleeping 5 until next data transfer || __main__
2022-02-09 22:25:56,563 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:26:01,569 || INFO || Thread 1: Successful Tx/Rx. Client sent b'This is Client Request Data'. Server replied This is Server Reply Data || __main__
2022-02-09 22:26:01,569 || INFO || Thread 1: Sleeping 5 until next data transfer || __main__
2022-02-09 22:26:06,579 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:30:53,515 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 22:30:53,516 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:31:03,522 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-09 22:34:25,680 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 22:34:25,680 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:34:35,689 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-09 22:43:16,559 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 22:43:16,559 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
