2022-02-19 18:49:52,244 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:50:02,248 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:50:02,249 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:50:12,264 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:50:12,264 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:50:22,266 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:50:22,266 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 19:04:47,887 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 19:04:47,888 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 19:05:07,890 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 19:06:00,051 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 19:06:00,052 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 19:06:20,052 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 19:06:25,066 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-19 19:06:25,067 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: '' || __main__
2022-02-19 19:06:30,072 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-19 19:07:05,387 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 19:07:05,388 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 19:07:25,395 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 19:07:25,396 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-19 19:07:25,397 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: '' || __main__
2022-02-19 19:07:30,404 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-19 20:01:14,664 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 20:01:14,665 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 20:01:34,666 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 20:01:34,667 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-19 20:01:34,668 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: '' || __main__
2022-02-19 20:01:39,669 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:20:02,737 || INFO || Thread 1: Client successfully connected to Server at 192.168.0.50:12345 || __main__
2022-02-20 08:20:02,737 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:20:22,742 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
